Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,34,16.5,public,75463.12260273972,27544039.75,30849.55365296804,11260087.083333334,35789.34223752873,13063109.916697986,6507.153134096133,2375110.8939450886,557.931506849315,203645.0
VIPV50_Wp1000,34,16.5,work,48773.275,17802245.375,1878.0800228310507,685499.2083333335,1081.9087109811958,394896.67950813647,270.47717774529895,98724.16987703412,13.054794520547945,4765.0
VIPV50_Wp1000,35,17.0,home,215212.26484018247,78552476.6666666,130969.3200913243,47803801.83333337,38731.37051922759,14136950.239518069,12992.609570185738,4742302.493117794,1123.986301369863,410255.0
VIPV50_Wp1000,35,17.0,public,73229.6220319635,26728812.04166668,28989.756963470307,10581261.291666662,34004.282971544526,12411563.28461375,6182.596903917186,2256647.869929773,500.04794520547944,182517.5
VIPV50_Wp1000,35,17.0,work,34803.99086757991,12703456.666666668,1440.911073059361,525932.5416666667,820.6332966950247,299531.153293684,205.15832417375617,74882.788323421,15.58904109589041,5690.0
VIPV50_Wp1000,36,17.5,home,239112.57294520555,87276089.12500003,138212.6840182648,50447629.66666664,41107.992345082625,15004417.205955159,13812.735180140828,5041648.340751402,1031.7397260273972,376585.0
VIPV50_Wp1000,36,17.5,public,70758.9479452055,25827016.000000004,26351.067123287667,9618139.499999998,30703.883441799608,11206917.456256857,5582.5242621453845,2037621.3556830653,440.9657534246575,160952.5
VIPV50_Wp1000,36,17.5,work,23769.993493150683,8676047.625,1000.1422374429225,365051.9166666667,567.9346763766441,207296.1568774751,141.98366909416103,51824.03921936877,4.36986301369863,1595.0
VIPV50_Wp1000,37,18.0,home,262387.82557077636,95771556.33333337,143083.47922374425,52225469.91666665,42693.9999329826,15583309.97553865,14369.117264497776,5244727.801541688,1026.8561643835617,374802.5
VIPV50_Wp1000,37,18.0,public,69180.41849315069,25250852.75,25332.334817351595,9246302.208333332,29546.124256986735,10784335.353800159,5372.022592179405,1960788.2461454829,379.74657534246575,138607.5
VIPV50_Wp1000,37,18.0,work,16030.840639269403,5851256.833333332,714.6167808219178,260835.125,398.98677111798673,145630.17145806516,99.74669277949668,36407.54286451629,10.006849315068493,3652.5
VIPV50_Wp1000,38,18.5,home,281391.7519406392,102707989.45833331,143804.4735159818,52488632.83333336,42986.803488150515,15690183.273174938,14490.955936381986,5289198.916779425,684.6712328767123,249905.0
VIPV50_Wp1000,38,18.5,public,67864.48299086759,24770536.29166667,21871.1144977169,7982956.791666668,25804.290158423613,9418565.907824619,4691.689119713381,1712466.528695384,302.3493150684931,110357.5
